Total iterations, Power iterations,Num Threads, Total Time, Error,Process Time,,,,,,,,,, Power iterations,Num Threads, Total Time, Error,Process Time
16,8,8,9.06261133333333,4.233081,13.6051463333333,1.68038133333333,1.71523766666667,1.69746366666667,1.697535,1.69803633333333,1.703043,1.706678,1.70677133333333,,8,8,9.06261133333333,4.233081,13.6051463333333
16,8,8,8.849559,4.000045,13.608298,1.68071,1.717617,1.704518,1.705507,1.685651,1.697996,1.709027,1.707272,,4,8,8.605155,3.697486,11.6510386666667
16,8,8,9.520035,3.432226,13.647519,1.682373,1.717574,1.70523,1.705735,1.71168,1.708265,1.71008,1.706582,,2,8,8.14293933333333,3.62206366666667,7.83696633333333
16,8,8,8.81824,5.266972,13.559622,1.678061,1.710522,1.682643,1.681363,1.696778,1.702868,1.700927,1.70646,,8,4,11.2341593333333,3.61976,13.7516713333333
,,,,,,,,,,,,,,,4,4,10.6867413333333,3.47782166666667,11.7013983333333
16,4,8,8.605155,3.697486,11.6510386666667,1.433782,1.460946,1.457303,1.458105,1.459725,1.45745766666667,1.46151666666667,1.46220333333333,,2,4,9.69740633333333,4.43357633333333,7.72212333333333
16,4,8,8.614746,3.468804,11.607148,1.41421,1.441123,1.453293,1.460169,1.4632,1.458746,1.459302,1.457105,,8,2,14.9222093333333,4.39731933333333,13.765097
16,4,8,8.62277,2.728059,11.657504,1.44154,1.467981,1.447617,1.451374,1.457298,1.456866,1.468932,1.465896,,4,2,14.0515413333333,3.74245,11.8054073333333
16,4,8,8.577949,4.895595,11.688464,1.445596,1.473734,1.470999,1.462772,1.458677,1.456761,1.456316,1.463609,,2,2,12.219839,3.790614,7.84638533333333
,,,,,,,,,,,,,,,,,,,
16,2,8,8.14293933333333,3.62206366666667,7.83696633333333,0.965385333333333,0.986895666666667,0.985190666666667,0.98824,0.981851333333333,0.979552666666667,0.975388333333333,0.974462333333333,,,,,,
16,2,8,8.178189,2.770676,7.823009,0.959631,0.982134,0.983073,0.987983,0.983939,0.982261,0.974535,0.969453,,,,,,
16,2,8,8.100655,5.257743,7.863338,0.965805,0.986312,0.989212,0.989384,0.98577,0.983739,0.982263,0.980853,,,,,,
16,2,8,8.149974,2.837772,7.824552,0.97072,0.992241,0.983287,0.987353,0.975845,0.972658,0.969367,0.973081,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
16,8,4,11.2341593333333,3.61976,13.7516713333333,3.41904566666667,3.452861,3.44099333333333,3.43877133333333,,,,,,,,,,
16,8,4,11.290449,4.037727,13.742638,3.417265,3.450298,3.436907,3.438168,,,,,,,,,,
16,8,4,11.288558,2.856598,13.731939,3.411575,3.44227,3.443765,3.434329,,,,,,,,,,
16,8,4,11.123471,3.964955,13.780437,3.428297,3.466015,3.442308,3.443817,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
16,4,4,10.6867413333333,3.47782166666667,11.7013983333333,2.90509433333333,2.931529,2.92794266666667,2.93683233333333,,,,,,,,,,
16,4,4,10.679459,3.515373,11.710962,2.908049,2.938945,2.923202,2.940766,,,,,,,,,,
16,4,4,10.611934,2.877921,11.693019,2.891583,2.924214,2.936399,2.940823,,,,,,,,,,
16,4,4,10.768831,4.040171,11.700214,2.915651,2.931428,2.924227,2.928908,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
16,2,4,9.69740633333333,4.43357633333333,7.72212333333333,1.91146433333333,1.93604533333333,1.93819733333333,1.93641633333333,,,,,,,,,,
16,2,4,9.781293,4.467779,7.8277,1.941873,1.963899,1.963947,1.957981,,,,,,,,,,
16,2,4,9.6469,4.866771,7.739389,1.91287,1.933833,1.946647,1.946039,,,,,,,,,,
16,2,4,9.664026,3.966179,7.599281,1.87965,1.910404,1.903998,1.905229,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
16,8,2,14.9222093333333,4.39731933333333,13.765097,6.87204233333333,6.89305466666667,,,,,,,,,,,,
16,8,2,14.955592,5.276214,13.81475,6.898631,6.916119,,,,,,,,,,,,
16,8,2,14.875214,3.461654,13.756214,6.864759,6.891455,,,,,,,,,,,,
16,8,2,14.935822,4.45409,13.724327,6.852737,6.87159,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
16,,2,14.0515413333333,3.74245,11.8054073333333,5.89563766666667,5.90976966666667,,,,,,,,,,,,
16,4,2,14.089276,3.978827,11.78179,5.879852,5.901938,,,,,,,,,,,,
16,4,2,14.023593,4.409355,11.830256,5.911299,5.918957,,,,,,,,,,,,
16,4,2,14.041755,2.839168,11.804176,5.895762,5.908414,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
16,2,2,12.219839,3.790614,7.84638533333333,3.912786,3.93359933333333,,,,,,,,,,,,
16,2,2,12.440887,2.899417,7.858355,3.920995,3.93736,,,,,,,,,,,,
16,2,2,11.995749,3.999915,7.878381,3.933393,3.944988,,,,,,,,,,,,
16,2,2,12.222881,4.47251,7.80242,3.88397,3.91845,,,,,,,,,,,,
